Step,Action,Reasoning,Observation,Reward,Done
0,turn right,,"a wall 6 steps forward
a wall 2 steps right
a grey key 2 steps left and 3 steps forward
a green box 1 step right and 2 steps forward",0,False
1,go forward,,"a wall 5 steps forward
a wall 2 steps right
a grey key 2 steps left and 2 steps forward
a green box 1 step right and 1 step forward",0,False
2,go forward,,"a wall 4 steps forward
a grey key 2 steps left and 1 step forward
a green box 1 step right",0,False
3,turn left,,"a wall 5 steps forward
a wall 3 steps left
a grey key 1 step right and 2 steps forward",0,False
4,go forward,,"a wall 4 steps forward
a wall 3 steps left
a grey key 1 step right and 1 step forward",0,False
5,go forward,,"a wall 3 steps forward
a wall 3 steps left
a grey key 1 step right",0,False
6,turn right,,"a wall 3 steps left
a grey key 1 step forward
a green box 3 steps right",0,False
7,go forward,,"a wall 3 steps left
a grey key 1 step forward
a green box 3 steps right",0,False
8,go forward,,"a wall 3 steps left
a grey key 1 step forward
a green box 3 steps right",0,False
9,pick up,,"You carry a grey key
a wall 4 steps forward
a wall 3 steps left
a green box 3 steps right",0,False
10,turn right,,"You carry a grey key
a wall 3 steps right
a green box 3 steps forward",0,False
11,go forward,,"You carry a grey key
a wall 3 steps right
a green box 2 steps forward",0,False
12,go forward,,"You carry a grey key
a wall 3 steps right
a green box 1 step forward",0.90859375,True
